Low voted user	Top Voted user	Weight
1150599	1249198	1
2533082	3324060	1
870949	2993986	1
3221708	2993986	1
1330455	3041194	1
805003	2329962	1
2665236	2329962	1
3049246	2329962	1
2804469	563535	1
2999947	563535	1
2763154	255376	1
2875477	2049063	1
2875033	2049063	1
1921385	3575029	1
1110621	3575029	1
1032650	815386	1
1459299	815386	1
1926956	1729773	1
840604	1729773	1
675065	1614825	1
1125062	257182	2
1125062	575527	2
1125062	257182	1
1125062	575527	1
1148619	1265216	1
1096998	507784	1
1193055	507784	1
1019753	752738	1
696465	752738	1
653882	637740	1
398431	637740	1
513021	637740	1
8427082	4051713	2
7563449	4051713	1
4785333	500298	1
4908989	500298	2
5615228	1123505	3
4909783	361762	3
3243173	1799794	1
1799794	3189029	2
3243173	1090901	1
1090901	3189029	2
3243173	3189029	3
3243173	2709708	1
2709708	3189029	2
4770609	8440598	2
7297002	9642717	2
7297002	4739018	1
4739018	9642717	1
7297002	1123505	1
1123505	9642717	1
7297002	5260024	1
5260024	9642717	1
3005003	687901	2
6475972	3841431	2
2001594	1410918	2
2001594	1483981	1
1483981	1410918	1
3180638	1828084	2
2002077	816620	2
2002077	350231	1
350231	816620	1
2002077	3041194	1
3041194	816620	1
1108407	3041194	2
12231153	10422730	1
10515503	8071073	1
9565908	1210271	1
9565908	68788	1
2763154	7947689	1
3771012	4737729	1
6300892	6028607	1
6300892	6315719	1
6157267	6157267	1
5570920	2328974	1
4223358	4223358	1
4223358	2720041	1
4568705	19068	1
2420042	3703531	1
4118402	2611780	1
2359436	2611780	1
1115367	1115367	1
3449215	1115367	1
4110405	1913729	4
4833572	3546939	4
6408838	5104748	2
2958431	1118830	2
9859452	6081906	4
9859452	6542963	4
1031362	2702894	4
3740413	839501	4
4894657	519413	3
4894657	4775312	3
4575240	2545286	2
2545286	4698464	1
4575240	4698464	3
8997372	3721086	5
8997372	8997372	4
8997372	3721086	1
3390083	4703663	5
2065044	1910265	16
